TestCode,TestPhase,TestVersion,ReactionTime,RTVariability,Accuracy,TotalCorrect,TotalErrors,TotalTrials,TotalResponses,TestCompletionPass,TestPerformancePass,RawReactionTime,RawRTVariability,RawAccuracy,LegalErrors,RuleBreakErrors,StandardScoreZ,ChangeScore,TotalAnticipatory,TotalPost,TotalMaxOut,TotalCorrectExclPant,StandardScoreT,PrimaryOutcome,TestIntegrityPass,TestDuration,AlternateOutcome,AltStandardScoreZ,AltStandardScoreT,RawRTDifference,PsyAttStdScr,PsyAttChange,LearnWMStdScr,LearnWMChange,AltLearnWMStdScr
TimerDetectionAdultReal,Real,Adult,6.1.1,6.1.2,6.1.3,6.1.4,6.1.5,6.1.6,6.1.7,6.1.8,6.1.9,6.1.10,6.1.11,6.1.12,,6.1.13,6.1.14,6.1.15,6.1.16,6.1.17,6.1.18,6.1.19,6.1.20,6.1.21,6.1.22,6.1.23,,,,6.1.24,7.1,7.2,7.3,7.4,7.5
TimerIdentificationAdultReal,Real,Adult,6.2.1,6.2.2,6.2.3,6.2.4,6.2.5,6.2.6,6.2.7,6.2.8,6.2.9,6.2.10,6.2.11,6.2.12,6.2.13,6.2.14,6.2.15,6.2.16,6.2.17,6.2.18,6.2.19,6.2.20,6.2.21,6.2.22,,6.2.23,,,,6.2.24,7.1,7.2,7.3,7.4,7.5
TimerOnecardlearningAdultReal,Real,Adult,6.3.1,6.3.2,6.3.3,6.3.4,6.3.5,6.3.6,6.3.7,6.3.8,6.3.9,6.3.10,6.3.11,6.3.12,6.3.13,6.3.14,6.3.15,6.3.16,6.3.17,6.3.18,,6.3.19,6.3.20,6.3.21,,6.3.22,,,,6.3.23,7.1,7.2,7.3,7.4,7.5
TimerOnebackAdultReal,Real,Adult,6.4.1,6.4.2,6.4.3,6.4.4,6.4.5,6.4.6,6.4.7,6.4.8,6.4.9,6.4.10,6.4.11,6.4.12,6.4.13,6.4.14,6.4.15,6.4.16,6.4.17,6.4.18,6.4.19,6.4.20,6.4.21,6.4.22,,6.4.23,6.4.24,6.4.25,6.4.26,6.4.27,7.1,7.2,7.3,7.4,7.5
TimerTwobackAdultReal,Real,Adult,6.5.1,6.5.2,6.5.3,6.5.4,6.5.5,6.5.6,6.5.7,6.5.8,6.5.9,6.5.10,6.5.11,6.5.12,6.5.13,6.5.14,6.5.15,6.5.16,6.5.17,6.5.18,6.5.19,6.5.20,6.5.21,6.5.22,,6.5.23,,,,6.5.24,,,,,
TimerDetectionPediatricReal,Real,Pediatric,6.1.1,6.1.2,6.1.3,6.1.4,6.1.5,6.1.6,6.1.7,6.1.8,6.1.9,6.1.10,6.1.11,6.1.12,,6.1.13,6.1.14,6.1.15,6.1.16,6.1.17,6.1.18,6.1.19,6.1.20,6.1.21,6.1.22,6.1.23,,,,6.1.24,7.1,7.2,7.3,7.4,7.5
TimerIdentificationPediatricReal,Real,Pediatric,6.2.1,6.2.2,6.2.3,6.2.4,6.2.5,6.2.6,6.2.7,6.2.8,6.2.9,6.2.10,6.2.11,6.2.12,6.2.13,6.2.14,6.2.15,6.2.16,6.2.17,6.2.18,6.2.19,6.2.20,6.2.21,6.2.22,,6.2.23,,,,6.2.24,7.1,7.2,7.3,7.4,7.5
TimerOnecardlearningPediatricReal,Real,Pediatric,6.3.1,6.3.2,6.3.3,6.3.4,6.3.5,6.3.6,6.3.7,6.3.8,6.3.9,6.3.10,6.3.11,6.3.12,6.3.13,6.3.14,6.3.15,6.3.16,6.3.17,6.3.18,,6.3.19,6.3.20,6.3.21,,6.3.22,,,,6.3.23,7.1,7.2,7.3,7.4,7.5
TimerOnebackPediatricReal,Real,Pediatric,6.4.1,6.4.2,6.4.3,6.4.4,6.4.5,6.4.6,6.4.7,6.4.8,6.4.9,6.4.10,6.4.11,6.4.12,6.4.13,6.4.14,6.4.15,6.4.16,6.4.17,6.4.18,6.4.19,6.4.20,6.4.21,6.4.22,,6.4.23,6.4.24,6.4.25,6.4.26,6.4.27,7.1,7.2,7.3,7.4,7.5
TimerTwobackPediatricReal,Real,Pediatric,6.5.1,6.5.2,6.5.3,6.5.4,6.5.5,6.5.6,6.5.7,6.5.8,6.5.9,6.5.10,6.5.11,6.5.12,6.5.13,6.5.14,6.5.15,6.5.16,6.5.17,6.5.18,6.5.19,6.5.20,6.5.21,6.5.22,,6.5.23,,,,6.5.24,7.1,7.2,7.3,7.4,7.5
