Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Left Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Metadata Display Sequence,Version Name,Group Name," ""Group Branching Equation"""," ""Group Type"""," ""Section Title"""," ""Custom Info"""," ""Show Validator"""," ""Calc Field Ecuation""",Warning message when empty,Screening expression," ""Measurement Unit"""," ""Response Set Label"""," ""Medical Dictionary"""," ""Rows Columns""",Position Row," ""Position Col"""," ""Max allowed rows"""," ""Enabled flag"""," ""Randomization"""," ""Enable Survey"""," ""Available on Mobile"""," ""Global Response Set"""," ""Field Width"""," ""Enroll Custom CRF"""," ""Descriptive Text Image"""," ""Default Value"""," ""Custom Info 2"""," ""Empty Group Flag"""," ""Stratification Variable"""," ""Revision Notes"""," ""Revision Date"""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dob,Demographics,,Date Box,Date of Birth,,,,,,N,,Y,N,,,,,0,,,,,Demographics,"{""datePartial"":""N"", ""currentDate"":""N"", ""preventFutureDate"":""Y"", ""partialDateYearRequired"":""N"", ""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,N,Y,,Y,,,,N,N,,
gender,Demographics,,radio,Gender,"""M, M | F, F  """,,,,,N,,Y,N,,,,,0,,,,,Demographics,"{""horizontalDisplay"":""N"", ""fieldHide"":""N""}",Y,,,,,Gender,,,,,,Y,N,N,N,N,,Y,,,,N,N,,
language,Demographics,,select,Language,"""en-AU, English - Australia | en-CA, English - Canada | en-US, English - US | en-GB, English - United Kingdom | fr-CA, French - Canada | fr-FR, French - France | de-DE, German - Germany | hu-HU, Hungarian - Hungary | pl-PL, Polish - Poland | es-MX, Spanish - Mexico | es-ES, Spanish - Spain | es-US, Spanish - US  """,,,,,N,,Y,N,,,,,0,,,,,Demographics,"{""horizontalDisplay"":""N"", ""fieldHide"":""N""}",Y,,,,,Languages,,,,,,Y,N,N,N,N,,Y,,,,N,N,,
,Begin Cogstate Battery,,,,,,,,,,,,N,,,,,1,,"<div style=""background-color:#9E007E;border:thin solid;"">  <div style=""padding:1%; font-size: 2em;margin-top: 0.67em;margin-bottom: 0.67em;margin-left: 0;margin-right: 0;font-weight: bold;text-align:center;"">   <div style=""color:white; text-align:left;"">    Cogstate Battery   </div>  </div> </div> <div style=""background-color:#FFFFFF;"">  <div style=""border:thin solid;"">   <div style=""font-weight:normal;text-align:left; padding:5px;"">   Please enter the subject's Date of Birth below. The Cogstate Battery will only appear if the DOB you entered matches the one provided when entering the subject’s Demographics. <div style=""display:inline;color: #9E007E;font-weight:bold; ""> If the Cogstate Battery does not appear, please return to the Demographics CRF to ensure the Date of Birth provided is correct. </div> <br> <br> Once the DOB is confirmed, please select <div style=""display:inline;color: #9E007E;font-weight:bold; ""> Begin Assessment </div> when you are ready to begin the Cogstate Battery. This will prompt the battery to open in a separate window. <br> <br> Once complete, <div style=""display:inline;color: #9E007E;font-weight:bold; "">  you will be directed back to this page to enter any comments regarding the test </div> </div>   </div>  </div>",,Non Repeating,Section 1,,N,,,,,,,,,,,Y,N,N,Y,Y,,N,,,,Y,N,,
dobvisit,Begin Cogstate Battery,,Date Box,Confirmation of Subject's Date of Birth,,"Please confirm the subject's date of birth. If the ""Begin Cogstate Battery"" button does not appear, please return to the Demographics CRF to ensure the Date of Birth provided is correct. ",,,,N,,Y,N,,,,,0,,,,,Section 1,"{""datePartial"":""N"", ""currentDate"":""N"", ""preventFutureDate"":""Y"", ""partialDateYearRequired"":""N"", ""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,Y,Y,,N,,,,N,N,,
Visit_Date_Time,Begin Cogstate Battery,,Date Time Box,Visit Date &amp; Time,,,,,,N,[dobvisit]=[dob],N,N,,,,,1,,,,,Section 1,"{""currentDateTime"":""Y"", ""preventFutureDateTime"":""N"", ""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,Y,Y,,N,,,,N,N,,
cogstate_battery_3_fc72c2b6-1,Begin Cogstate Battery,,Cogstate Battery,Cogstate Battery,,,,,,N,[dobvisit]=[dob],N,N,,,,,2,,,,,Section 1,"{""label"":""Begin Assessment"", ""url"":""https://cgst-qc-duo.cogstate.com/api/external/v2"", ""key"":""d7a6d2bb-f854-460f-bf23-c009f9d91619"", ""secret"":""28566e30-ffff-4f45-8ea5-e8c286df10fc"", ""execStatusVariable"":""ExecutionStatus"", ""dob_variable"":""dob"", ""sex_variable"":""gender"", ""lang_variable"":""language"", ""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,Y,Y,,N,,,,N,N,,
ExecutionStatus,Begin Cogstate Battery,,text,Execution Status,,,,,,N,,N,N,,,,,0,,,,,Section 1,"{""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,Y,Y,,N,,,,N,N,,
executed_success,Begin Cogstate Battery,,descriptive,"<b><font color=""#008000"">Test Was Successfully Transmitted</font></b>",,,,,,N,"[ExecutionStatus]=""completed""",N,N,,,,,2,,,,,Section 1,"{""dtIsLink"":""true"", ""fieldHide"":""N""}",Y,,,,,,,,,,,Y,N,N,Y,Y,,N,,,,N,N,,
